,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Lsr,0.041113871,0.023157308,0.031304828,0.103537985,0.0860436,0.092949626,0.094275336,0.078184512,0.104817284,0.106349081,0.104206662,0.088774913,0.071103938,0.04697284,0.066211673
Usf2,1.423443996,1.255104468,1.298733974,1.055899076,1.291940278,1.330849002,1.870577541,2.067230914,2.206878929,1.945977699,1.984456281,1.980037033,1.387821008,1.398123756,1.265753096
Hpn,0.000973805,0,0,0.004876028,0.000391921,0.000463487,0.037483812,0.02780615,0.039637257,0.0162282,0.013927662,0.004366747,0.004780775,0.005165541,0.003485024
Gramd1a,0.999306839,0.974485589,0.900991096,0.498939971,0.468739781,0.452434532,0.461543826,0.549140979,0.667422994,0.497303759,0.53334261,0.458415204,0.829784482,0.842160059,0.776909011
Scn1b,0.011288334,0,0.018197837,0.001813567,0.00061952,0.004029552,0.0226849,0.037468883,0.056592164,0.020578238,0.008360433,0.010804112,0.006183075,0.009421501,0.003934903
Gm10640,0.000448891,0,0.001942825,0.004759796,0.000216795,0,0,0.001260755,0.001178801,0.001775625,0.00058513,0.000420088,0.003846586,0.004395945,0.000550792
Scgb2b2,0,0,0.000223388,0.000985117,0,0.00132656,0.000245219,0,0,0.000204163,0.000201837,0,0.000497571,0,0
Scgb2b3,0,0,0,0.00469675,0,0.003794792,0,0,0,0,0,0,0,0,0
Scgb2b7,0.00407581,0.009418223,0,0.009603933,0,0.001939901,0,0,0,0,0,0.006357144,0,0,0.014586382
Scgb1b12,0,0,0,0.003599656,0,0.005816764,0,0,0,0,0,0,0,0,0
Scgb2b18,0,0,0,0.016857993,0,0.003891601,0,0,0,0,0.00592109,0.006376476,0.003649188,0,0
Scgb2b19,0,0,0,0.007239532,0,0.00584926,0,0,0,0,0,0.004792073,0,0,0
Scgb2b20,0.005431668,0,0.00326508,0.002399771,0,0.003877843,0,0,0,0.002984087,0.001475039,0,0,0,0
Scgb2b21,0,0,0,0.014413183,0,0.001940882,0,0.001908853,0,0,0,0,0,0.008319627,0
Scgb1b24,0,0,0,0.032105039,0,0.006484906,0,0.006377889,0,0,0.007400113,0.007969249,0.006080952,0,0
