,nik_s1,nik_s2,nik_s3,ctr_s1,ctr_s2,ctr_s3,nik_t3,ikk_t2,ikk_t3,ctr_t1,ctr_t2,ctr_t3,nik_t1,nik_t2
Plin5,0.035588288,0.033914697,0.0020692,0.003112362,0.005134456,0.014983237,0.00912266,0.005336617,0.001682436,0.017027826,0.012483983,0,0.024443108,0.012073098
Dpp9,0.297156165,0.271260325,0.337819037,0.316852247,0.199972641,0.299940764,0.435607098,0.497535101,0.533008985,0.354085458,0.434851353,0.383276858,0.417453868,0.427552056
Plin4,0.055587724,0.036118384,0.031310217,0.044056499,0.000835401,0.035213326,0.005937205,0.014240015,0.00693476,0.006728382,0.001710488,0.017748646,0.053026838,0.070061883
Sema6b,0.066764693,0.033204958,0.030731565,0.002703188,0.006689161,0.010121554,0.04159746,0.016315286,0.019873002,0.014155394,0.013467828,0.008120895,0.04124614,0.060468553
Lrg1,0.015303168,0.206820745,0.024023738,0.032120009,0.086105969,0.02147626,0.02059468,0,0,0,0,0.010051529,0.012012202,0.054510764
Mydgf,0.442762932,0.347033385,0.480982698,0.398818209,0.205191105,0.385760582,0.753397078,0.688725762,0.737746862,0.541807574,0.640794564,0.583731984,0.595744702,0.566586632
Tnfaip8l1,0.161727518,0.18117795,0.081062762,0.068686984,0.022796643,0.071307393,0.072668955,0.076379035,0.055658113,0.087355736,0.08339949,0.048161644,0.177532374,0.187087617
Ticam1,0.398124993,0.300766071,0.233834337,0.33797514,0.173141433,0.261316731,0.32502531,0.371914469,0.314739896,0.472643663,0.318107698,0.309148684,0.456051908,0.460436398
Fem1a,0.819956395,0.638780958,0.670422773,1.010466157,0.75143486,0.934956534,0.842489277,0.903350131,0.843994616,1.076598388,0.917579238,0.941694741,0.941012353,0.8985366
Uhrf1,1.838719288,1.60976182,2.409432892,0.543212969,0.682789151,1.675326735,2.953190959,3.641903471,3.733141617,2.188627963,2.166571167,2.536258144,2.463411615,2.631563962
Plin3,0.248522338,0.151873879,0.156718216,0.095744661,0.098968482,0.095296683,0.111455767,0.143803494,0.135177766,0.132613123,0.125881516,0.100884768,0.177219377,0.175514419
Arrdc5,0.011517022,0.025443011,0.00301334,0.018885328,0.173222199,0.016970974,0.001107097,0,0,0.001180825,0,0.000630391,0.015820475,0.018558609
Ptprs,1.029439138,0.836482392,0.781703348,0.473768003,0.330171352,0.544236673,1.119576692,0.566657317,0.411916518,0.538038223,0.616924519,0.368677003,1.237775689,1.153429099
Rpl36,66.79093616,62.51504795,77.37471474,72.44378078,65.36489375,73.09404479,78.77912921,72.58370916,74.91595857,59.50040867,73.65016757,58.61097739,67.1020906,59.79339292
Safb,1.790320422,1.674298072,1.733184565,1.74687482,0.642394768,1.84300437,1.74200108,1.624359925,1.560247239,1.399961353,1.421368296,1.495299898,1.909091396,1.812005175
Safb2,1.08797058,1.060860102,1.252589502,1.481932653,0.480606649,1.483315724,1.236880524,1.126668313,0.991663025,0.947217826,0.967366157,0.93125193,1.086706361,1.168145612
Ndufa11,1.162453138,1.47892742,1.406590918,1.415091969,0.953492461,1.585738282,2.075454208,1.94476862,2.345001258,2.423701526,2.164799016,1.778900898,1.65583882,1.838024065
Ranbp3,0.218170487,0.214317807,0.223170511,0.252487016,0.188457516,0.246888056,0.251487326,0.249941665,0.253916891,0.238568188,0.23215563,0.22790399,0.233295444,0.23348572
Vmac,0.177518248,0.176407418,0.252722433,0.262551799,0.478327239,0.25523276,0.113762051,0.126051755,0.073225829,0.27033407,0.081936133,0.087639564,0.054644204,0.190407554
Catsperd,0.009597751,0.010945138,0.002135355,0.002569495,0.048535267,0.005497695,0.002259437,0.000352463,0.003426152,0.00592435,0.000867915,0.000214424,0.008071866,0.011960725
Fut4-ps1,0.075833619,0.021899221,0,0.02026446,0.075977778,0.003941625,0,0,0.001991685,0.002159756,0.003111299,0,0.067517351,0.052404952
Rfx2,0.013550371,0.012410036,0.00759718,0.018537465,0.0142433,0.01611867,0.009552088,0.009753295,0.009151338,0.006218778,0.008220031,0.007416871,0.0103831,0.010069348
Dus3l,0.939592159,0.86249983,0.632899679,0.637268022,0.181706045,0.73224991,0.617508548,0.506026082,0.589105853,0.484408577,0.4960589,0.533257769,0.753223818,0.722275289
Acsbg2,0.006126931,0.018283119,0.000395818,0.002530303,0.001473259,0.001592306,0.000218135,0.000102084,0.00107278,0,0,0.001614701,0.006456966,0.004234026
Gtf2f1,2.96732235,2.725857949,3.283098584,3.165321174,1.555124611,3.145065825,4.879173373,4.163763679,4.31759151,3.83046415,3.685331718,3.786132995,3.718817191,3.723270506
Clpp,0.407384693,0.518403774,0.397995797,0.335397255,0.319163484,0.416489058,0.610070152,0.591132093,0.743504433,0.462305388,0.337457472,0.294445122,0.727087326,0.422399751
Alkbh7,0.111139259,0.433279518,0.256393127,0.091709587,0.449999836,0.236472669,0.203330946,0.19515126,0.164402719,0.21870972,0.202544139,0.215857943,0.425640031,0.301018112
Pspn,0,0.213812905,0,0.058110355,0,0.319713484,0,0.056936576,0.023933301,0.207623474,0.014020221,0.187044295,0.099346469,0.504499388
Mllt1,0.217682875,0.163898188,0.219269699,0.129810272,0.11255787,0.196704977,0.207495073,0.173354015,0.187908144,0.133230924,0.161158353,0.139887482,0.277989662,0.20054392
Tubb4a,0.150240346,0.214403272,0.11776692,0.10156699,0.07579859,0.082785874,0.149737764,0.031927865,0.022658637,0.055756602,0.027057555,0.031279529,0.146509329,0.129765334
Khsrp,4.889787768,4.262402425,5.534955715,3.36809213,3.101550463,4.13270419,6.524682632,6.19800078,6.871361149,4.386667953,4.823401815,5.196757125,5.466908963,5.755438619
Slc25a23,0.129902136,0.203143083,0.126350481,0.041591166,0.05908327,0.050056052,0.017778259,0.010697153,0.018943801,0.026637386,0.004877957,0.006748727,0.105855068,0.072825004
Tnfsf9,1.122629849,0.672446962,0.868178849,0.176415816,0.139189541,0.13744453,1.568141427,0.322219362,0.373164726,0.334214698,0.223459156,0.238430153,1.795688446,1.569497767
Slc25a41,0.019219759,0.023935579,0.008031955,0.020485456,0.001733067,0.001685797,0.001539616,0.001801304,0,0.001642147,0.001774232,0.001315005,0.017286644,0.015621264
Crb3,0.010438674,0.036625918,0.006372797,0.021225179,0,0.010254646,0.006020634,0,0.004441394,0,0.001156349,0,0.023557243,0.014165012
Dennd1c,1.335715856,1.531264562,0.964709824,1.366701292,1.441042982,1.077773057,0.579636542,0.653923568,0.461061476,0.725518292,0.652656292,0.614714123,1.212623708,1.137138062
Gm11110,0.049296931,0.11607241,0.045122286,0.029132934,0.097177314,0.042468555,0.044103395,0.040181837,0.023766607,0.06305425,0.043254589,0.030456003,0.088118607,0.08692995
Trip10,0.15265909,0.101467471,0.176138013,0.047603092,0.111567735,0.070944952,0.177539448,0.088940612,0.075009031,0.11572167,0.12003957,0.08821618,0.209701723,0.208003452
Tnfsf14,0.220096526,0.126242204,0.199236273,0.235959715,0.095262449,0.183198085,0.157584903,0.043702406,0.027986027,0.214768008,0.030266444,0.014955028,0.227870398,0.251033354
C3,0.066517079,0.083762234,0.024514036,0.029536599,0.055732861,0.039239695,0.031121683,0.021052421,0.013357569,0.018860364,0.007172839,0.01014927,0.048516035,0.049674035
Gpr108,0.25903526,0.206789645,0.194251212,0.200304139,0.171628806,0.246807812,0.252468235,0.290746714,0.236396798,0.379106003,0.373659391,0.240441528,0.284479247,0.343729862
Vav1,0.395387929,0.441650186,0.484415761,0.478728249,0.267551494,0.493579851,0.487669504,0.703765023,0.646934269,0.670675333,0.571242628,0.569290175,0.48507895,0.558722338
Nudt12,0.010859408,0.054431625,0.009921933,0.003052627,0,0.007257118,0.002982523,0.00325683,0.003422523,0.005301908,0,0.000849137,0.013192027,0.04166411
Pja2,0.147813118,0.197712715,0.146642593,0.078624687,0.085413068,0.1032293,0.134970558,0.109233858,0.084012882,0.056007913,0.064614129,0.085418125,0.147499612,0.161619334
Dreh,0.051982309,0.045034331,0,0,0.018749206,0.012158545,0,0,0.024574632,0.022206987,0.081576852,0,0,0.102868872
Txndc2,0.044245917,0.067411428,0.01596773,0.006004416,0.049527342,0.005352942,0,0.004118192,0,0.014078715,0.020281504,0,0.047904518,0.058229002
Vapa,0.320423294,0.291239007,0.312118939,0.239171392,0.273745375,0.216763364,0.444843691,0.232069596,0.244067157,0.224192422,0.244126315,0.218043823,0.2206905,0.382030781
Ralbp1,0.499488924,0.481934262,0.570626987,0.540416726,0.377610838,0.611918678,0.726526505,0.726834584,0.721803419,0.661463098,0.723942006,0.727499188,0.697890274,0.731371591
Washc1,1.525953559,1.112208226,1.121387239,0.621779774,0.464765372,0.635654134,1.16692001,0.731115455,0.645576689,0.88768508,0.687322589,0.68183678,1.431807834,1.352082753
Ndufv2,0.905172582,0.918200238,0.983482437,0.456936276,0.679601039,0.563734106,1.003153741,0.859217685,0.773395825,0.810343633,0.695399775,0.783006622,0.994707495,0.960593088
Ddx11,0.194360863,0.230961445,0.20544709,0.091664206,0.118181173,0.138820203,0.326182938,0.210716792,0.160415759,0.144175773,0.153847644,0.147144848,0.261578854,0.236837905
